Магазин,Адресс,Категория,Подкатегория,Наименование товара,Цена со скидкой,Цена без скидки,Ссылка на товар
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат Айсберг,-,139.99,https://sbermarket.ru//magnit/salat-aysberg-42873a1?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат листовой в горшочке 80 г,-,79.99,https://sbermarket.ru//magnit/salat-listovoy-v-gorshochke-80-g-4244eff?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат Экзакт 150 г,-,92.99,https://sbermarket.ru//magnit/salat-ekzakt-150-g-c796f5c?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Лук зеленый 100 г,-,79.99,https://sbermarket.ru//magnit/luk-zelenyy-100-g-cf911e7?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Укроп 100 г,-,79.99,https://sbermarket.ru//magnit/ukrop-100-g-4b7e49e?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат Рукола-Радичио 75 г,-,129.99,https://sbermarket.ru//magnit/salat-rukola-radichio-75-g-1ebc4e5?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат Белая Дача Тоскана 120 г,-,129.99,https://sbermarket.ru//magnit/salat-belaya-dacha-toskana-120-g-5cac961?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Укроп 50 г,-,54.99,https://sbermarket.ru//magnit/ukrop-50-g-63957c6?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Лук зеленый 50 г,54.99,40.99,https://sbermarket.ru//magnit/luk-zelenyy-50-g-04a4d1b?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Шпинат мини 75 г,-,139.99,https://sbermarket.ru//magnit/shpinat-mini-75-g-06381a1?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат Фриллис резаный 100 г,-,99.99,https://sbermarket.ru//magnit/salat-frillis-rezanyy-100-g-07e3fa6?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Сельдерей стебель 400 г,-,104.99,https://sbermarket.ru//magnit/sel-derey-stebel-400-g-1a15860?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салатная смесь Белая Дача Botanicum в контейнере 75 г,-,159.99,https://sbermarket.ru//magnit/salatnaya-smes-belaya-dacha-botanicum-v-konteynere-75-g-5fdf0f6?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат Белая Дача Аликанте 100 г,-,114.99,https://sbermarket.ru//magnit/salat-belaya-dacha-alikante-100-g-d5b3ba0?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат Маслянистый зеленый в горшочке 200 г,-,94.99,https://sbermarket.ru//magnit/salat-maslyanistyy-zelenyy-v-gorshochke-200-g-10cab95?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Петрушка 100 г,-,69.99,https://sbermarket.ru//magnit/petrushka-100-g-40e225a?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Шпинат 50 г,-,62.99,https://sbermarket.ru//magnit/shpinat-50-g-5daaf9d?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Укроп в горшочке 30 г,-,69.99,https://sbermarket.ru//magnit/ukrop-v-gorshochke-30-g-a504613?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Капуста пекинская ~1 кг,-,189.99,https://sbermarket.ru//magnit/kapusta-pekinskaya-1-kg-27ffd5e?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Чеснок,-,37.99,https://sbermarket.ru//magnit/chesnok-5db024f?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат Рукола 75 г,-,129.99,https://sbermarket.ru//magnit/salat-rukola-75-g-5831fbd?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Кинза 50 г,-,69.99,https://sbermarket.ru//magnit/kinza-50-g-9b72d25?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салатная смесь рукола-мангольд-мизуна 75 г,-,159.99,https://sbermarket.ru//magnit/salatnaya-smes-rukola-mangol-d-mizuna-75-g-7ae5f77?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салатная смесь Салаты с поля рукола-радиччо-фриссе 75 г,-,139.99,https://sbermarket.ru//magnit/salatnaya-smes-salaty-s-polya-rukola-radichcho-frisse-75-g-fafb598?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салатная смесь Салаты с поля рукола-мангольд-шпинат 75 г,-,164.99,https://sbermarket.ru//magnit/salatnaya-smes-salaty-s-polya-rukola-mangol-d-shpinat-75-g-266669a?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Мята перечная Зелень Торг 30 г,-,79.99,https://sbermarket.ru//magnit/myata-perechnaya-zelen-torg-30-g-163810a?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Базилик Зелень Торг 30 г,-,79.99,https://sbermarket.ru//magnit/bazilik-zelen-torg-30-g-10fe5ad?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салатная смесь Vitamincus Салатный ростковый Микс 1 и соус...,-,169.99,https://sbermarket.ru//magnit/salatnaya-smes-vitamincus-salatnyy-rostkovyy-miks-1-i-sous-100-g-5e77093?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Редис 500 г,-,149.99,https://sbermarket.ru//magnit/redis-500-g-48a23fb?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Микрозелень гороха Солнечная планета 50 г,-,119.99,https://sbermarket.ru//magnit/mikrozelen-goroha-solnechnaya-planeta-50-g-3145c0f?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Чеснок молодой ~100 г,-,37.99,https://sbermarket.ru//magnit/chesnok-molodoy-100-g-ade3946?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Чеснок 3 шт,-,64.99,https://sbermarket.ru//magnit/chesnok-3-sht-d2e9497?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Розмарин Зелень Торг 30 г,-,79.99,https://sbermarket.ru//magnit/rozmarin-zelen-torg-30-g-a17cb62?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Имбирь корень ~100 г,-,57.99,https://sbermarket.ru//magnit/imbir-koren-100-g-8dda28a?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Сельдерей корневой ~600 г,-,119.99,https://sbermarket.ru//magnit/sel-derey-kornevoy-600-g-86ef536?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Огурец гладкий,120.0,70.0,https://sbermarket.ru//magnit/ogurets-gladkiy-c53722e?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры красные,200.0,100.0,https://sbermarket.ru//magnit/pomidory-krasnye-e7bf335?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Морковь,24.55,15.0,https://sbermarket.ru//magnit/morkov-50556c0?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Лук репчатый,18.5,15.0,https://sbermarket.ru//magnit/luk-repchatyy-fb2ea76?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Огурцы среднеплодные пупырчатые,150.0,90.0,https://sbermarket.ru//magnit/ogurtsy-sredneplodnye-pupyrchatye-2972cfd?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,"Капуста белокочанная ~1,5 кг",56.54,47.99,https://sbermarket.ru//magnit/kapusta-belokochannaya-1-5-kg-2535427?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Свекла,34.3,16.5,https://sbermarket.ru//magnit/svekla-9e6229e?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Морковь мытая,43.9,24.95,https://sbermarket.ru//magnit/morkov-mytaya-f7c839e?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,"Картофель в упаковке ~2,5 кг",-,49.98,https://sbermarket.ru//magnit/kartofel-v-upakovke-2-5-kg-e795836?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Картофель новый урожай,-,37.5,https://sbermarket.ru//magnit/kartofel-novyy-urozhay-ad3330c?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры Черри 250 г,-,149.99,https://sbermarket.ru//magnit/pomidory-cherri-250-g-6aab169?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры сливовидные Flamenco 450 г,-,199.99,https://sbermarket.ru//magnit/pomidory-slivovidnye-flamenco-450-g?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Баклажаны,115.0,99.95,https://sbermarket.ru//magnit/baklazhany-d2af3d1?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры желтые сливовидные ~400 г,-,124.0,https://sbermarket.ru//magnit/pomidory-zheltye-slivovidnye-400-g-2c4257d?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Перец Долма зеленый,-,150.0,https://sbermarket.ru//magnit/perets-dolma-zelenyy-801f792?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Чеснок,-,37.99,https://sbermarket.ru//magnit/chesnok-5db024f?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Огурцы короткоплодные пупырчатые,-,199.99,https://sbermarket.ru//magnit/ogurtsy-korotkoplodnye-pupyrchatye-5c4d24b?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Огурцы короткоплодные тепличные 450 г,129.99,109.99,https://sbermarket.ru//magnit/ogurtsy-korotkoplodnye-teplichnye-450-g-1e6688a?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры коктейльные Магнит Свежесть шоколадные 450 г,-,169.99,https://sbermarket.ru//magnit/pomidory-kokteyl-nye-magnit-svezhest-shokoladnye-450-g-8b1c1de?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры розовые,-,155.0,https://sbermarket.ru//magnit/pomidory-rozovye-44f67a6?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Капуста пекинская ~1 кг,-,189.99,https://sbermarket.ru//magnit/kapusta-pekinskaya-1-kg-27ffd5e?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Чеснок молодой ~100 г,-,37.99,https://sbermarket.ru//magnit/chesnok-molodoy-100-g-ade3946?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Капуста Цветная,229.99,151.99,https://sbermarket.ru//magnit/kapusta-tsvetnaya-d978407?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры сливовидные на ветке средние ~500 г,-,175.0,https://sbermarket.ru//magnit/pomidory-slivovidnye-na-vetke-srednie-500-g?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Авокадо ~300 г,-,146.97,https://sbermarket.ru//magnit/avokado-300-g-b85a0bd?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Капуста брокколи,299.99,209.99,https://sbermarket.ru//magnit/kapusta-brokkoli-a57cc1f?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры коктейльные желтые 450 г,-,169.99,https://sbermarket.ru//magnit/pomidory-kokteyl-nye-zheltye-450-g-65a2f8e?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры коктейльные 500 г,-,239.99,https://sbermarket.ru//magnit/pomidory-kokteyl-nye-500-g-d39a9a4?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры Черри Premiere of Taste Горячее сердце 200 г,179.99,149.99,https://sbermarket.ru//magnit/pomidory-cherri-premiere-of-taste-goryachee-serdtse-200-g-8016bee?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Чеснок 3 шт,-,64.99,https://sbermarket.ru//magnit/chesnok-3-sht-d2e9497?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Кабачки Цуккини,-,100.0,https://sbermarket.ru//magnit/kabachki-tsukkini-e6ae12c?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Картофель красный мытый,-,32.5,https://sbermarket.ru//magnit/kartofel-krasnyy-mytyy-0505260?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Редис 500 г,-,149.99,https://sbermarket.ru//magnit/redis-500-g-48a23fb?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Лук красный ~500 г,-,54.5,https://sbermarket.ru//magnit/luk-krasnyy-500-g-bcca750?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Огурцы гладкие 600 г,-,119.99,https://sbermarket.ru//magnit/ogurtsy-gladkie-600-g-569e30e?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Перец сладкий Палермо ~500 г,-,215.0,https://sbermarket.ru//magnit/perets-sladkiy-palermo-500-g-b867b0d?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидор черри тримикс 350 г,-,229.99,https://sbermarket.ru//magnit/pomidor-cherri-trimiks-350-g-819d2da?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Лук порей,-,97.5,https://sbermarket.ru//magnit/luk-porey-9debf5e?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Тыква 500 г,-,59.99,https://sbermarket.ru//magnit/tykva-500-g-fff43b7?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Огурцы Луховицкие 450 г,-,139.99,https://sbermarket.ru//magnit/ogurtsy-luhovitskie-450-g-abca9e5?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Лук Ялтинский 300 г,-,94.99,https://sbermarket.ru//magnit/luk-yaltinskiy-300-g-6524ff4?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Авокадо Has 2 шт,-,189.99,https://sbermarket.ru//magnit/avokado-has-2-sht-96f7d04?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры сливовидные Premiere of Taste Розовый закат 350 г,-,179.99,https://sbermarket.ru//magnit/pomidory-slivovidnye-premiere-of-taste-rozovyy-zakat-350-g-e882e4f?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры Черри на ветке 250 г,-,179.99,https://sbermarket.ru//magnit/pomidory-cherri-na-vetke-250-g-ed78a99?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Свекла 600 г,-,74.99,https://sbermarket.ru//magnit/svekla-600-g-8e43c30?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Свекла Scoro вареная целая 500 г,-,89.99,https://sbermarket.ru//magnit/svekla-scoro-varenaya-tselaya-500-g-2b8bebf?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Томаты Магнит Сливовидные 600 г,-,189.99,https://sbermarket.ru//magnit/tomaty-magnit-slivovidnye-600-g-7274486?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,"Лук репчатый в упаковке ~1,6 кг",-,47.98,https://sbermarket.ru//magnit/luk-repchatyy-v-upakovke-1-6-kg-f9b161d?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Огурцы корнишоны 250 г,-,179.99,https://sbermarket.ru//magnit/ogurtsy-kornishony-250-g-8461fa0?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры Кумато 350 г,159.99,151.99,https://sbermarket.ru//magnit/pomidory-kumato-350-g-acfdd8b?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Огурцы корнишоны 300 г,-,169.99,https://sbermarket.ru//magnit/ogurtsy-kornishony-300-g-15bf1f2?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Картофель Кримм пастеризованный дольки 500 г,-,49.99,https://sbermarket.ru//magnit/kartofel-krimm-pasterizovannyy-dol-ki-500-g-7f389f4?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Перец Палермо сладкий микс 1 шт,-,199.99,https://sbermarket.ru//magnit/perets-palermo-sladkiy-miks-1-sht-19b0df8?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Морковь 600 г,-,79.99,https://sbermarket.ru//magnit/morkov-600-g-668b481?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры 600 г,-,179.99,https://sbermarket.ru//magnit/pomidory-600-g-f1f2393?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Томаты черри Premiere Of Taste Сладкий кранч на ветке 200 г,-,159.99,https://sbermarket.ru//magnit/tomaty-cherri-premiere-of-taste-sladkiy-kranch-na-vetke-200-g?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Имбирь корень ~100 г,-,57.99,https://sbermarket.ru//magnit/imbir-koren-100-g-8dda28a?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Капуста Кольраби Импорт,-,149.99,https://sbermarket.ru//magnit/kapusta-kol-rabi-import-3e16350?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Перец чили красный 100 г,-,99.99,https://sbermarket.ru//magnit/perets-chili-krasnyy-100-g-09ef6f0?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры Premiere of Taste Сладкий кранч шейкер 200 г,-,159.99,https://sbermarket.ru//magnit/pomidory-premiere-of-taste-sladkiy-kranch-sheyker-200-g?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры коктейльные розовые 350 г,-,179.99,https://sbermarket.ru//magnit/pomidory-kokteyl-nye-rozovye-350-g-0e1f83b?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Картофель Белорусский ~3 кг,-,164.97,https://sbermarket.ru//magnit/kartofel-belorusskiy-3-kg-ba88fdd?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Тыква Баттернат ~2 кг,279.8,265.81,https://sbermarket.ru//magnit/tykva-batternat-2-kg-af88fbb?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Свекла Дмитровские овощи отварная соломка 500 г,-,89.99,https://sbermarket.ru//magnit/svekla-dmitrovskie-ovoschi-otvarnaya-solomka-500-g-bcead2d?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Лук красный Деметра 3 шт,78.99,75.04,https://sbermarket.ru//magnit/luk-krasnyy-demetra-3-sht-7fbae48?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Сельдерей корневой ~600 г,-,119.99,https://sbermarket.ru//magnit/sel-derey-kornevoy-600-g-86ef536?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Кукуруза в зернах отварная 300 г,-,109.99,https://sbermarket.ru//magnit/kukuruza-v-zernah-otvarnaya-300-g-46d9a4a?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры Черри Сан Ремо шейкер красные 250 г,-,189.99,https://sbermarket.ru//magnit/pomidory-cherri-san-remo-sheyker-krasnye-250-g-afb1ce7?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Овощное ассорти помидоры-огурцы 650 г,-,259.99,https://sbermarket.ru//magnit/ovoschnoe-assorti-pomidory-ogurtsy-650-g-66a4745?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры желтые ~500 г,-,200.0,https://sbermarket.ru//magnit/pomidory-zheltye-500-g-e21980a?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Авокадо Хасс 700 г,-,469.99,https://sbermarket.ru//magnit/avokado-hass-700-g-758a604?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Перец чили красный,-,389.97,https://sbermarket.ru//magnit/perets-chili-krasnyy-1388137?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Картофель для варки крупный ~3 кг,-,209.97,https://sbermarket.ru//magnit/kartofel-dlya-varki-krupnyy-3-kg-f0a42b4?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Лук белый,-,54.5,https://sbermarket.ru//magnit/luk-belyy-2ff5ffb?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Морковь отварная целая 500 г,79.99,75.99,https://sbermarket.ru//magnit/morkov-otvarnaya-tselaya-500-g-050f450?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры сливовидные желтые 350 г,-,179.99,https://sbermarket.ru//magnit/pomidory-slivovidnye-zheltye-350-g-502b597?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Помидоры Premiere of Taste Черри Клубничный поцелуй 200 г,-,179.99,https://sbermarket.ru//magnit/pomidory-premiere-of-taste-cherri-klubnichnyy-potseluy-200-g-66963a1?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Кукуруза сахарная МиниМакс в початках вареная 2 шт 450 г,169.99,161.49,https://sbermarket.ru//magnit/kukuruza-saharnaya-minimaks-v-pochatkah-varenaya-2-sht-450-g-e73576b?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Свекла отварная нарезанная 500 г,-,89.99,https://sbermarket.ru//magnit/svekla-otvarnaya-narezannaya-500-g-86f44a0?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Томаты черри Premiere of Taste Рыжий чемпион мелкие 200 г,-,159.99,https://sbermarket.ru//magnit/tomaty-cherri-premiere-of-taste-ryzhiy-chempion-melkie-200-g-09aca43?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Кукуруза Сила Традиции вареная 1 шт,99.99,94.99,https://sbermarket.ru//magnit/kukuruza-sila-traditsii-varenaya-1-sht-b0ab953?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Овощи,Перец мини острый красный 50 г,-,159.99,https://sbermarket.ru//magnit/perets-mini-ostryy-krasnyy-50-g?sid=11432
Метро,-,Алкоголь,Водка,Соджу Chum Churum 360 мл,669.0,499.0,https://sbermarket.ru//metro/sodzhu-chum-churum-360-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Tundra Authentic 500 мл,389.0,329.0,https://sbermarket.ru//metro/vodka-tundra-authentic-500-ml-422ed97?sid=1
Метро,-,Алкоголь,Водка,Водка Архангельская Северная выдержка 500 мл,439.0,369.0,https://sbermarket.ru//metro/vodka-arhangel-skaya-severnaya-vyderzhka-500-ml?sid=1
Метро,-,Алкоголь,Водка,Соджу Chum Churum персик 360 мл,669.0,499.0,https://sbermarket.ru//metro/sodzhu-chum-churum-persik-360-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Tundra Authentic 700 мл,589.0,459.0,https://sbermarket.ru//metro/vodka-tundra-authentic-700-ml-a359dbb?sid=1
Метро,-,Алкоголь,Водка,Водка Русский Стандарт Original 500 мл,589.0,439.0,https://sbermarket.ru//metro/vodka-russkiy-standart-original-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Стужа Ледяная 500 мл,393.8,289.0,https://sbermarket.ru//metro/vodka-stuzha-ledyanaya-500-ml?sid=1
Метро,-,Алкоголь,Водка,Саке Hakushika Junmai Taruzake 300 мл,99.0,779.0,https://sbermarket.ru//metro/sake-hakushika-junmai-taruzake-300-ml-576163f?sid=1
Метро,-,Алкоголь,Водка,Водка Архангельская Северная выдержка 1 л,849.0,729.0,https://sbermarket.ru//metro/vodka-arhangel-skaya-severnaya-vyderzhka-1-l?sid=1
Метро,-,Алкоголь,Водка,Граппа Коктебель Резерв 500 мл,859.0,649.0,https://sbermarket.ru//metro/grappa-koktebel-rezerv-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Стужа Ice Альфа 500 мл,393.8,289.0,https://sbermarket.ru//metro/vodka-stuzha-ice-al-fa-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Балчуг 21 век 500 мл,559.0,399.0,https://sbermarket.ru//metro/vodka-balchug-21-vek-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Tundra Северная морошка 500 мл,449.0,329.0,https://sbermarket.ru//metro/vodka-tundra-severnaya-moroshka-500-ml?sid=1
Метро,-,Алкоголь,Водка,Саке Hakushika Honjozo Namachozo 300 мл,829.0,629.0,https://sbermarket.ru//metro/sake-hakushika-honjozo-namachozo-300-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Русский Стандарт 1 л,89.0,859.0,https://sbermarket.ru//metro/vodka-russkiy-standart-1-l-efcb352?sid=1
Метро,-,Алкоголь,Водка,Водка Remeslo Fermera 500 мл,639.0,349.0,https://sbermarket.ru//metro/vodka-remeslo-fermera-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Чистые Росы 500 мл,299.0,99.0,https://sbermarket.ru//metro/vodka-chistye-rosy-500-ml-9843612?sid=1
Метро,-,Алкоголь,Водка,Водка Orthodox 1 л + Рюмка,279.0,939.0,https://sbermarket.ru//metro/vodka-orthodox-1-l-ryumka?sid=1
Метро,-,Алкоголь,Водка,Водка Белая сова White Owl 700 мл,759.0,549.0,https://sbermarket.ru//metro/vodka-belaya-sova-white-owl-700-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Хаски 500 мл,503.8,369.0,https://sbermarket.ru//metro/vodka-haski-500-ml-9290ede?sid=1
Метро,-,Алкоголь,Водка,Водка Orthodox 1 л,79.0,899.0,https://sbermarket.ru//metro/vodka-orthodox-1-l?sid=1
Метро,-,Алкоголь,Водка,Водка Фортуна Tchaikovsky 700 мл,999.0,849.0,https://sbermarket.ru//metro/vodka-fortuna-tchaikovsky-700-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Талка 1 л,769.0,679.0,https://sbermarket.ru//metro/vodka-talka-1-l-ba63497?sid=1
